profile,workload,dataset_name,context,server_max_num_seqs,concurrency,input_len,output_len,random_input_len,random_output_len,completed,failed,duration_seconds,output_tokens_per_second,total_tokens_per_second,per_user_output_tokens_per_second,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,result_file
16k,decode-1k-out512-fixed,random,16384,16,4,1024,512,1024,512,64,0,123.13815554999746,266.10760778120715,805.274364855484,66.52690194530179,6886.777403763517,14240.62247042515,1.400908939366354,results/16k__decode-1k-out512-fixed__c4.json
16k,decode-1k-out512-fixed,random,16384,16,8,1024,512,1024,512,64,0,102.31876801900216,320.25405147484264,969.1281660231139,40.03175643435533,11306.609095438034,15651.304275592847,2.439188040878331,results/16k__decode-1k-out512-fixed__c8.json
16k,decode-1k-out512-fixed,random,16384,16,16,1024,512,1024,512,64,0,99.52572547798627,329.24150859114144,996.3253171355464,20.57759428694634,21050.25516285741,30851.830327420317,4.317609853446428,results/16k__decode-1k-out512-fixed__c16.json
16k,prefill-16k-out16-fixed,random,16384,16,1,14336,16,14336,16,64,0,542.9022280500212,1.8861591408050955,1693.4614604589374,1.8861591408050955,8482.599480514182,13199.34420996258,0.0017705448347745307,results/16k__prefill-16k-out16-fixed__c1.json
16k,prefill-16k-out16-fixed,random,16384,16,4,14336,16,14336,16,64,0,490.67464833697886,2.086922573788143,1873.7140855269904,0.5217306434470358,30471.40724093788,59582.23011917024,0.0030826990951027256,results/16k__prefill-16k-out16-fixed__c4.json
16k,prefill-16k-out16-fixed,random,16384,16,8,14336,16,14336,16,64,0,501.58273281902075,2.041537582932457,1832.9658097136466,0.2551921978665571,61820.440785905244,127573.25406069227,0.003545166631132209,results/16k__prefill-16k-out16-fixed__c8.json
16k,prefill-16k-out16-fixed,random,16384,16,16,14336,16,14336,16,64,0,589.0816004950029,1.7382990728950571,1560.7073777681144,0.10864369205594107,141780.73871757986,213646.3823835147,0.003909984358566968,results/16k__prefill-16k-out16-fixed__c16.json
16k,prefill-8k-out16-fixed,random,16384,16,1,7168,16,7168,16,64,0,295.35041869001,3.4670680493422847,1559.611806352183,3.4670680493422847,4614.540581109395,7885.373055242234,0.0022481166221647677,results/16k__prefill-8k-out16-fixed__c1.json
16k,prefill-8k-out16-fixed,random,16384,16,4,7168,16,7168,16,64,0,253.2945820739842,4.042723660393582,1818.5623878265785,1.0106809150983955,15629.87153688755,30550.831905147916,0.0036605105075674747,results/16k__prefill-8k-out16-fixed__c4.json
16k,prefill-8k-out16-fixed,random,16384,16,8,7168,16,7168,16,64,0,242.53610121499514,4.222051871330608,1899.2306617136335,0.527756483916326,29750.055271810652,51691.93689750356,0.0035447594200377353,results/16k__prefill-8k-out16-fixed__c8.json
16k,prefill-8k-out16-fixed,random,16384,16,16,7168,16,7168,16,64,0,262.3544626609946,3.9031163777960107,1755.7620149774725,0.24394477361225067,62766.787215575736,133463.34869504,0.003973135486982452,results/16k__prefill-8k-out16-fixed__c16.json
32k,decode-1k-out512-fixed,random,32768,16,4,1024,512,1024,512,64,0,125.46692325201002,261.16843507976154,790.3278205111436,65.29210876994038,6974.432748217623,13716.153573128975,1.2625746732823186,results/32k__decode-1k-out512-fixed__c4.json
32k,decode-1k-out512-fixed,random,32768,16,8,1024,512,1024,512,64,0,110.84601505700266,295.6173028245447,894.5743331323808,36.95216285306809,12017.441466359742,16292.180689178349,2.8283560956733282,results/32k__decode-1k-out512-fixed__c8.json
32k,decode-1k-out512-fixed,random,32768,16,16,1024,512,1024,512,64,0,106.34424224100076,308.13139770877393,932.4435240723274,19.25821235679837,22792.914969497815,31447.9407765044,4.2814839186367895,results/32k__decode-1k-out512-fixed__c16.json
32k,prefill-16k-out16-fixed,random,32768,16,1,14336,16,14336,16,64,0,543.8789556669944,1.8827718729146297,1690.4202496169376,1.8827718729146297,8497.8719763767,13194.672057585845,0.0017585187075989475,results/32k__prefill-16k-out16-fixed__c1.json
32k,prefill-16k-out16-fixed,random,32768,16,4,14336,16,14336,16,64,0,537.0757087459788,1.9066213260527898,1711.8331457340998,0.47665533151319744,33374.13532807659,65275.4655823516,0.003041294894501334,results/32k__prefill-16k-out16-fixed__c4.json
32k,prefill-16k-out16-fixed,random,32768,16,8,14336,16,14336,16,64,0,602.8913006380026,1.6984819633595047,1524.9581458997216,0.2123102454199381,74628.66389090822,110348.3970098727,0.0033947801360530625,results/32k__prefill-16k-out16-fixed__c8.json
32k,prefill-16k-out16-fixed,random,32768,16,16,14336,16,14336,16,64,0,669.3377261979913,1.5298704374794183,1373.5726584878687,0.09561690234246364,163132.46441235743,252720.9670657413,0.0036911323453144482,results/32k__prefill-16k-out16-fixed__c16.json
32k,prefill-32k-out16-fixed,random,32768,16,1,28672,16,28672,16,64,0,1332.6133284259995,0.7684149468994772,1378.4103466604365,0.7684149468994772,20821.785181465657,26379.95831111708,0.0021944168414241476,results/32k__prefill-32k-out16-fixed__c1.json
32k,prefill-32k-out16-fixed,random,32768,16,4,28672,16,28672,16,64,0,1391.453013551014,0.7359213642340197,1320.1221903370115,0.18398034105850491,86883.73368335897,120375.68962657852,0.0026722721183129274,results/32k__prefill-32k-out16-fixed__c4.json
32k,prefill-32k-out16-fixed,random,32768,16,8,28672,16,28672,16,64,0,1439.0717167520197,0.7115698182931179,1276.4395120945399,0.08894622728663974,178664.88679307894,227477.55292231156,0.0028364156908840714,results/32k__prefill-32k-out16-fixed__c8.json
32k,prefill-32k-out16-fixed,random,32768,16,16,28672,16,28672,16,64,0,1458.667533927015,0.702010551536164,1259.2917558497668,0.04387565947101025,349836.4072701402,508477.69707119034,0.003989859487774083,results/32k__prefill-32k-out16-fixed__c16.json
32k,prefill-8k-out16-fixed,random,32768,16,1,7168,16,7168,16,64,0,294.20647147798445,3.480548863713986,1565.6759611233406,3.480548863713986,4596.681618796538,7907.10419711424,0.002243925003616217,results/32k__prefill-8k-out16-fixed__c1.json
32k,prefill-8k-out16-fixed,random,32768,16,4,7168,16,7168,16,64,0,254.80434603398317,4.018769757810291,1807.78706160124,1.0046924394525727,15788.812560874248,36964.08314502856,0.003197597895147434,results/32k__prefill-8k-out16-fixed__c4.json
32k,prefill-8k-out16-fixed,random,32768,16,8,7168,16,7168,16,64,0,282.7977358509961,3.6209625120179094,1628.8390662459312,0.4526203140022387,34672.175068378696,67450.72788458638,0.004136654024478047,results/32k__prefill-8k-out16-fixed__c8.json
32k,prefill-8k-out16-fixed,random,32768,16,16,7168,16,7168,16,64,0,379.619298790989,2.697439258913427,1213.4051178826264,0.16858995368208918,91628.73565607742,122191.61867200222,0.004234849105462975,results/32k__prefill-8k-out16-fixed__c16.json
4k-reference,claim-repro-1k-out1024,random,4096,20,1,1000,1024,1000,1024,20,0,61.42829559399979,333.396845899147,663.3262343678,333.396845899147,2315.883495750313,3983.484836556307,0.7381775085495094,results/4k-reference__claim-repro-1k-out1024__c1.json
4k-reference,claim-repro-1k-out1024,random,4096,20,4,1000,1024,1000,1024,20,0,48.40747448900947,423.0751596976996,841.7501724708088,105.7687899244249,7157.7278580502025,14863.69831737887,2.231222952493919,results/4k-reference__claim-repro-1k-out1024__c4.json
4k-reference,claim-repro-1k-out1024,random,4096,20,20,1000,1024,1000,1024,20,0,37.24200390302576,549.916703014364,1094.1140575061663,27.4958351507182,24475.655437000387,32347.830865777498,9.087796405378313,results/4k-reference__claim-repro-1k-out1024__c20.json
8k,decode-1k-out512-fixed,random,8192,16,4,1024,512,1024,512,64,0,120.7426562399778,271.3871056047758,821.2507748953116,67.84677640119395,6751.511748311259,14605.482890356792,1.3398465208266759,results/8k__decode-1k-out512-fixed__c4.json
8k,decode-1k-out512-fixed,random,8192,16,8,1024,512,1024,512,64,0,102.07464265800081,321.01998250230054,971.4459675576209,40.12749781278757,11153.730893500324,17722.763677841565,2.399780289896022,results/8k__decode-1k-out512-fixed__c8.json
8k,decode-1k-out512-fixed,random,8192,16,16,1024,512,1024,512,64,0,97.92146304398193,334.63552301380633,1012.6482684951487,20.914720188362896,20526.23019104749,33351.030163775424,4.642297342463366,results/8k__decode-1k-out512-fixed__c16.json
8k,prefill-8k-out16-fixed,random,8192,16,1,7168,16,7168,16,64,0,283.4465693500242,3.6126738183783647,1625.1105139719366,3.6126738183783647,4428.557579124572,7742.869275695993,0.00215306572499685,results/8k__prefill-8k-out16-fixed__c1.json
8k,prefill-8k-out16-fixed,random,8192,16,4,7168,16,7168,16,64,0,251.1209116920072,4.077716957542378,1834.3036304557236,1.0194292393855946,15596.406743281932,32403.578005448202,0.003932714571419638,results/8k__prefill-8k-out16-fixed__c4.json
8k,prefill-8k-out16-fixed,random,8192,16,8,7168,16,7168,16,64,0,244.83393621997675,4.1824267330324805,1881.405850478728,0.5228033416290601,29747.20668928103,56843.05047802332,0.0036534042010316625,results/8k__prefill-8k-out16-fixed__c8.json
8k,prefill-8k-out16-fixed,random,8192,16,16,7168,16,7168,16,64,0,229.1923489329929,4.467862931582322,2009.805310449832,0.2792414332238951,54787.63259614243,108283.25624094074,0.0035564238714869134,results/8k__prefill-8k-out16-fixed__c16.json
