candidate_id,status,max_model_len,max_num_seqs,max_num_batched_tokens,batch_policy,risk_tier,load_skip_reason,token_budget_m,startup_seconds,kv_cache_tokens,reported_concurrency,system_memory_drop_gib,tegrastats_baseline_ram_used_gib,tegrastats_ram_delta_gib,tegrastats_max_ram_used_gib,tegrastats_max_temp_c,tegrastats_samples,tegrastats_gpu_field_seen,idle_memory_gib,idle_memory_peak_gib,load_memory_gib,load_memory_peak_gib,load_successes,load_errors,completion_tok_s,total_tok_s,latency_p50,latency_p95
ctx4096-seq1-match_context,load_complete,4096,1,4096,match_context,low,,0.004096,141.239,561917,137.19,82.526,8.296,82.029,90.325,62.0,154,False,3.851,10.841,3.872,10.841,1,0,18.139,529.721,3.527,3.527
ctx4096-seq1-small,load_complete,4096,1,4096,small,low,,0.004096,146.261,552933,134.99,82.519,8.209,82.239,90.448,70.1,158,False,4.877,12.022,4.887,12.022,1,0,23.626,689.961,2.708,2.708
ctx4096-seq2-match_context,load_complete,4096,2,4096,match_context,low,,0.008192,151.037,560963,136.95,81.467,8.271,82.113,90.385,67.6,163,False,3.954,10.988,3.979,10.988,2,0,40.938,1195.505,3.125,3.126
ctx4096-seq2-small,load_complete,4096,2,4096,small,low,,0.008192,146.327,561589,137.11,82.505,8.21,81.965,90.175,65.6,157,False,4.886,11.996,4.896,11.996,2,0,54.88,1602.681,2.332,2.332
ctx8192-seq1-match_context,load_complete,8192,1,8192,match_context,low,,0.008192,146.248,553475,67.56,81.356,8.098,81.362,89.46,65.0,158,False,3.827,10.99,3.852,10.99,1,0,18.202,531.545,3.516,3.516
ctx8192-seq1-small,load_complete,8192,1,8192,small,low,,0.008192,145.959,554111,67.64,82.152,8.086,81.524,89.61,70.3,157,False,5.398,12.058,5.408,12.058,1,0,23.945,699.256,2.672,2.672
ctx4096-seq4-match_context,load_complete,4096,4,4096,match_context,low,,0.016384,146.01,561615,137.11,81.444,8.123,82.23,90.354,65.3,158,False,4.259,10.958,4.217,10.958,4,0,75.107,2193.358,3.393,3.407
ctx4096-seq4-small,load_complete,4096,4,4096,small,low,,0.016384,142.474,562288,137.28,82.707,8.172,82.249,90.421,69.0,153,False,4.883,11.641,4.891,11.641,4,0,99.57,2907.749,2.537,2.564
ctx8192-seq2-match_context,load_complete,8192,2,8192,match_context,low,,0.016384,146.384,552578,67.45,82.254,8.199,81.302,89.501,71.5,158,False,4.42,11.151,4.447,11.151,2,0,40.408,1180.034,3.141,3.141
ctx8192-seq2-small,load_complete,8192,2,8192,small,low,,0.016384,140.91,552479,67.44,81.531,8.115,81.42,89.535,69.3,152,False,3.834,10.837,3.842,10.837,2,0,56.309,1644.394,2.272,2.273
